transaction_id,user_id,merchant_id,merchant_category,amount,txn_timestamp,is_fraud
T106900,U10164,M1045,pharmacy,15.05,2026-04-02 19:38:18,0
T103695,U10280,M1052,gaming,47.87,2026-04-02 19:59:57,0
T107836,U10248,M1056,gambling,823.03,2026-04-02 20:01:37,1
T105446,U10255,M1042,utilities,23.57,2026-04-02 20:08:27,0
T107881,U10089,M1027,fashion,59.17,2026-04-02 20:11:05,0
T100289,U10254,M1035,grocery,18.74,2026-04-02 21:46:35,0
T100868,U10099,M1050,utilities,26.59,2026-04-02 21:52:29,0
T105144,U10161,M1053,crypto,83.79,2026-04-02 21:57:49,0
T100884,U10182,M1051,electronics,87.09,2026-04-02 22:16:19,0
T105318,U10174,M1005,fashion,54.75,2026-04-02 23:53:53,0
T105117,U10272,M1036,fashion,60.6,2026-04-03 00:59:22,0
T101370,U10243,M1024,utilities,47.17,2026-04-03 01:08:07,0
T103553,U10151,M1001,utilities,20.78,2026-04-03 01:50:41,0
T107080,U10274,M1032,grocery,50.76,2026-04-03 03:16:25,0
T105052,U10134,M1012,utilities,132.94,2026-04-03 03:29:14,0
T101347,U10006,M1054,crypto,72.74,2026-04-03 04:01:46,0
T107220,U10103,M1006,grocery,62.92,2026-04-03 04:03:44,0
T104233,U10204,M1007,restaurant,37.95,2026-04-03 05:00:10,0
T105691,U10136,M1059,restaurant,34.93,2026-04-03 05:05:42,0
T101977,U10043,M1023,pharmacy,55.37,2026-04-03 05:17:21,0
T104658,U10076,M1018,fashion,19.31,2026-04-03 06:23:55,0
T101380,U10014,M1007,restaurant,45.98,2026-04-03 06:31:53,0
T104309,U10060,M1045,pharmacy,14.53,2026-04-03 06:49:38,0
T100904,U10026,M1031,travel,9.9,2026-04-03 06:57:46,0
T101368,U10281,M1037,fashion,36.21,2026-04-03 07:00:20,0
T100366,U10221,M1019,crypto,22.8,2026-04-03 07:53:48,0
T102903,U10105,M1029,crypto,10.21,2026-04-03 08:06:53,0
T107346,U10233,M1019,crypto,56.38,2026-04-03 08:27:50,1
T105915,U10043,M1050,utilities,98.51,2026-04-03 08:40:30,0
T100902,U10063,M1047,fashion,70.96,2026-04-03 08:47:48,0
T107339,U10104,M1052,gaming,10.03,2026-04-03 08:48:03,0
T100172,U10151,M1047,fashion,78.02,2026-04-03 08:58:22,0
T106656,U10038,M1019,crypto,59.36,2026-04-03 09:04:26,0
T101549,U10263,M1006,grocery,22.1,2026-04-03 09:05:36,0
T105765,U10250,M1026,crypto,129.83,2026-04-03 09:46:15,0
T100886,U10174,M1048,restaurant,118.93,2026-04-03 09:56:11,0
T102581,U10087,M1048,restaurant,59.64,2026-04-03 10:06:44,0
T101012,U10014,M1052,gaming,31.16,2026-04-03 10:08:22,0
T107968,U10193,M1008,travel,27.28,2026-04-03 10:21:04,0
T106501,U10099,M1026,crypto,23.49,2026-04-03 11:01:37,0
T104741,U10275,M1051,electronics,22.6,2026-04-03 11:20:57,0
T106538,U10129,M1051,electronics,30.84,2026-04-03 12:51:11,0
T101661,U10021,M1041,utilities,106.41,2026-04-03 12:52:23,0
T103495,U10105,M1052,gaming,20.78,2026-04-03 13:28:43,0
T100996,U10050,M1019,crypto,41.21,2026-04-03 14:25:12,0
T107792,U10099,M1052,gaming,23.19,2026-04-03 14:50:00,0
T102994,U10108,M1002,restaurant,37.93,2026-04-03 15:03:13,0
T103048,U10286,M1048,restaurant,23.51,2026-04-03 15:24:21,0
T106076,U10066,M1059,restaurant,31.78,2026-04-03 15:25:36,0
T101427,U10229,M1037,fashion,6.11,2026-04-03 15:33:44,0
T102363,U10108,M1010,gambling,46.54,2026-04-03 16:02:46,0
T107255,U10185,M1009,grocery,37.38,2026-04-03 16:12:55,0
T103976,U10084,M1014,utilities,88.49,2026-04-03 16:14:44,0
T105034,U10128,M1041,utilities,51.42,2026-04-03 16:15:59,0
T106786,U10154,M1002,restaurant,38.93,2026-04-03 16:31:41,0
T105349,U10190,M1021,gaming,15.4,2026-04-03 18:07:18,0
T103350,U10044,M1001,utilities,71.74,2026-04-03 18:15:01,0
T104302,U10259,M1010,gambling,47.07,2026-04-03 18:35:37,0
T106746,U10263,M1021,gaming,24.91,2026-04-03 19:24:32,0
T106246,U10190,M1037,fashion,40.76,2026-04-03 19:45:41,0
T101797,U10266,M1008,travel,55.84,2026-04-03 20:11:12,0
T104162,U10245,M1050,utilities,54.94,2026-04-03 21:34:03,0
T104527,U10214,M1049,utilities,115.32,2026-04-03 21:46:25,0
T104427,U10251,M1001,utilities,47.35,2026-04-03 21:57:04,0
T102180,U10070,M1059,restaurant,21.91,2026-04-03 22:16:23,0
T100535,U10015,M1025,restaurant,36.78,2026-04-03 22:44:03,0
T104353,U10275,M1048,restaurant,27.43,2026-04-03 22:45:15,0
T105387,U10285,M1020,gambling,39.56,2026-04-03 23:11:53,0
T102416,U10093,M1034,fashion,147.48,2026-04-03 23:24:18,0
T106633,U10012,M1058,utilities,11.69,2026-04-03 23:27:15,0
T104789,U10203,M1056,gambling,94.17,2026-04-04 00:25:22,0
T103776,U10123,M1049,utilities,78.51,2026-04-04 00:30:50,0
T105533,U10078,M1046,crypto,67.95,2026-04-04 00:53:44,0
T106116,U10108,M1011,pharmacy,66.34,2026-04-04 00:55:49,0
T102404,U10160,M1046,crypto,73.93,2026-04-04 01:39:38,0
T107856,U10123,M1016,gambling,36.92,2026-04-04 01:49:20,0
T106180,U10163,M1051,electronics,103.2,2026-04-04 01:55:57,0
T100725,U10029,M1027,fashion,107.66,2026-04-04 02:40:30,0
T100963,U10102,M1043,gaming,36.63,2026-04-04 02:53:15,0
T105192,U10017,M1054,crypto,18.79,2026-04-04 02:56:13,0
T101410,U10080,M1042,utilities,40.07,2026-04-04 03:12:07,0
T101774,U10080,M1045,pharmacy,20.27,2026-04-04 04:05:48,0
T104145,U10174,M1028,gambling,6.0,2026-04-04 04:15:11,0
T107234,U10250,M1032,grocery,63.97,2026-04-04 04:26:40,0
T102227,U10050,M1031,travel,62.91,2026-04-04 05:10:28,0
T103260,U10187,M1057,electronics,39.23,2026-04-04 05:12:27,0
T100439,U10190,M1046,crypto,18.34,2026-04-04 05:52:48,0
T100976,U10226,M1053,crypto,76.92,2026-04-04 06:01:33,0
T106763,U10088,M1051,electronics,136.47,2026-04-04 06:03:07,0
T106276,U10285,M1033,gambling,109.46,2026-04-04 06:11:00,0
T107154,U10269,M1029,crypto,84.27,2026-04-04 06:56:57,0
T107043,U10098,M1027,fashion,31.85,2026-04-04 08:09:44,0
T102355,U10243,M1058,utilities,202.35,2026-04-04 08:20:50,0
T106990,U10292,M1052,gaming,60.96,2026-04-04 08:44:33,0
T100473,U10297,M1025,restaurant,22.36,2026-04-04 09:40:51,0
T103157,U10003,M1042,utilities,34.99,2026-04-04 10:03:31,0
T100867,U10220,M1053,crypto,32.38,2026-04-04 10:57:01,0
T103806,U10093,M1037,fashion,82.02,2026-04-04 10:57:17,0
T101832,U10128,M1045,pharmacy,43.74,2026-04-04 10:57:30,0
T106532,U10220,M1033,gambling,37.01,2026-04-04 12:06:51,0
T102491,U10120,M1045,pharmacy,29.3,2026-04-04 12:29:17,0
T102028,U10153,M1035,grocery,60.79,2026-04-04 12:30:28,0
T102673,U10003,M1057,electronics,38.35,2026-04-04 12:43:45,0
T102237,U10006,M1044,grocery,18.0,2026-04-04 12:51:06,0
T101008,U10118,M1015,utilities,60.71,2026-04-04 13:05:23,0
T107645,U10086,M1009,grocery,23.61,2026-04-04 13:25:03,0
T103169,U10191,M1040,electronics,342.4,2026-04-04 13:55:08,0
T106204,U10102,M1052,gaming,63.97,2026-04-04 15:48:42,1
T105924,U10209,M1016,gambling,51.09,2026-04-04 16:03:33,0
T104521,U10167,M1008,travel,25.41,2026-04-04 16:28:51,0
T105755,U10091,M1007,restaurant,53.3,2026-04-04 16:32:46,0
T104063,U10155,M1047,fashion,79.43,2026-04-04 16:41:47,0
T103334,U10136,M1006,grocery,133.71,2026-04-04 17:00:40,0
T102412,U10042,M1033,gambling,24.69,2026-04-04 17:18:22,0
T105057,U10298,M1019,crypto,11.56,2026-04-04 17:42:13,0
T102518,U10180,M1055,grocery,76.31,2026-04-04 18:05:51,0
T103425,U10114,M1059,restaurant,19.76,2026-04-04 18:39:18,0
T101839,U10093,M1018,fashion,49.24,2026-04-04 19:01:09,0
T101053,U10156,M1046,crypto,91.43,2026-04-04 19:20:57,0
T102155,U10112,M1016,gambling,5.37,2026-04-04 19:26:50,0
T102714,U10136,M1000,grocery,56.28,2026-04-04 19:28:21,1
T105257,U10039,M1055,grocery,15.92,2026-04-04 19:33:49,0
T106195,U10024,M1003,crypto,13.56,2026-04-04 19:50:21,0
T103520,U10194,M1026,crypto,44.71,2026-04-04 19:57:24,0
T102598,U10050,M1019,crypto,77.08,2026-04-04 21:03:00,0
T105937,U10138,M1001,utilities,52.03,2026-04-04 21:11:49,0
T105063,U10170,M1011,pharmacy,43.97,2026-04-04 21:37:20,0
T105528,U10187,M1019,crypto,102.01,2026-04-04 21:51:38,0
T104847,U10267,M1015,utilities,52.2,2026-04-04 22:39:59,0
T103059,U10088,M1029,crypto,21.6,2026-04-04 22:47:28,0
T104681,U10235,M1010,gambling,398.29,2026-04-05 00:14:39,1
T106403,U10282,M1005,fashion,60.58,2026-04-05 00:43:29,0
T104970,U10206,M1053,crypto,6.02,2026-04-05 01:15:05,0
T100496,U10201,M1042,utilities,20.93,2026-04-05 01:29:38,0
T107680,U10069,M1011,pharmacy,20.59,2026-04-05 02:15:42,0
T100552,U10137,M1031,travel,99.03,2026-04-05 02:56:56,0
T101467,U10199,M1022,electronics,15.83,2026-04-05 03:16:06,0
T106976,U10192,M1044,grocery,16.33,2026-04-05 03:18:31,0
T105638,U10232,M1019,crypto,87.33,2026-04-05 03:22:27,0
T101705,U10125,M1017,electronics,384.97,2026-04-05 03:28:54,0
T105038,U10028,M1004,crypto,58.28,2026-04-05 04:41:41,0
T104008,U10129,M1004,crypto,20.5,2026-04-05 04:48:31,0
T105959,U10179,M1046,crypto,41.1,2026-04-05 05:31:48,0
T107712,U10222,M1029,crypto,64.59,2026-04-05 05:44:08,0
T101995,U10259,M1056,gambling,251.42,2026-04-05 06:19:22,0
T105475,U10073,M1007,restaurant,40.7,2026-04-05 06:27:04,0
T101318,U10138,M1024,utilities,26.26,2026-04-05 07:00:25,0
T101471,U10153,M1025,restaurant,69.72,2026-04-05 07:22:42,0
T105997,U10030,M1056,gambling,10.83,2026-04-05 08:11:53,0
T105095,U10055,M1037,fashion,16.15,2026-04-05 09:04:04,0
T105159,U10006,M1034,fashion,39.26,2026-04-05 09:22:24,0
T100536,U10051,M1047,fashion,23.8,2026-04-05 09:37:28,0
T103088,U10033,M1047,fashion,79.47,2026-04-05 09:58:25,0
T106109,U10272,M1024,utilities,110.32,2026-04-05 10:55:30,0
T100236,U10207,M1024,utilities,29.29,2026-04-05 11:01:50,0
T101440,U10203,M1055,grocery,51.68,2026-04-05 12:43:23,0
T100810,U10266,M1004,crypto,21.65,2026-04-05 12:57:19,0
T104936,U10175,M1035,grocery,36.2,2026-04-05 13:06:30,0
T106211,U10207,M1005,fashion,48.41,2026-04-05 13:13:23,0
T104990,U10155,M1056,gambling,68.09,2026-04-05 13:33:55,0
T106705,U10226,M1053,crypto,103.24,2026-04-05 13:38:57,0
T106385,U10005,M1046,crypto,148.64,2026-04-05 14:21:45,0
T102154,U10091,M1028,gambling,34.66,2026-04-05 14:24:40,0
T101180,U10041,M1025,restaurant,21.21,2026-04-05 14:31:31,0
T100828,U10253,M1040,electronics,39.92,2026-04-05 14:42:47,0
T105299,U10068,M1051,electronics,49.93,2026-04-05 14:50:50,0
T106999,U10261,M1030,crypto,20.58,2026-04-05 15:11:17,0
T107241,U10083,M1038,travel,83.75,2026-04-05 15:21:17,0
T104486,U10021,M1029,crypto,48.75,2026-04-05 16:19:27,0
T101281,U10191,M1031,travel,121.92,2026-04-05 16:23:22,0
T105106,U10007,M1009,grocery,30.51,2026-04-05 16:35:47,0
T104077,U10088,M1030,crypto,59.81,2026-04-05 16:37:49,0
T103835,U10236,M1028,gambling,25.77,2026-04-05 16:38:51,0
T104228,U10244,M1026,crypto,76.05,2026-04-05 16:55:17,0
T102837,U10276,M1047,fashion,140.37,2026-04-05 16:56:34,0
T100716,U10178,M1011,pharmacy,41.15,2026-04-05 17:07:01,0
T101218,U10253,M1003,crypto,106.83,2026-04-05 17:12:18,0
T107961,U10198,M1055,grocery,42.01,2026-04-05 17:51:00,0
T103669,U10248,M1014,utilities,52.21,2026-04-05 18:31:12,0
T104742,U10237,M1055,grocery,32.5,2026-04-05 18:49:29,0
T100763,U10280,M1057,electronics,157.47,2026-04-05 19:09:39,0
T101352,U10029,M1005,fashion,41.73,2026-04-05 19:43:42,0
T103709,U10184,M1055,grocery,84.97,2026-04-05 19:50:06,0
T105791,U10125,M1024,utilities,116.67,2026-04-05 19:59:30,0
T100688,U10095,M1024,utilities,19.58,2026-04-05 20:04:57,0
T102224,U10194,M1015,utilities,16.76,2026-04-05 20:11:50,0
T104214,U10025,M1033,gambling,10.72,2026-04-05 20:16:46,0
T100363,U10099,M1009,grocery,54.34,2026-04-05 20:17:20,1
T100250,U10104,M1000,grocery,24.12,2026-04-05 20:31:52,0
T105516,U10001,M1030,crypto,32.58,2026-04-05 20:38:36,0
T106094,U10095,M1017,electronics,8.99,2026-04-05 21:41:29,0
T106084,U10190,M1008,travel,152.8,2026-04-05 21:52:41,0
T106792,U10287,M1057,electronics,13.83,2026-04-05 22:01:57,0
T105569,U10166,M1004,crypto,34.66,2026-04-05 22:16:50,0
T103634,U10084,M1044,grocery,63.81,2026-04-05 22:17:30,0
T100824,U10177,M1021,gaming,47.21,2026-04-05 22:23:55,0
T102521,U10029,M1023,pharmacy,50.01,2026-04-05 22:51:41,0
T105506,U10102,M1015,utilities,40.8,2026-04-05 23:18:01,0
T100424,U10098,M1023,pharmacy,21.2,2026-04-05 23:24:56,0
T101554,U10093,M1058,utilities,54.89,2026-04-05 23:51:59,0
T107109,U10280,M1017,electronics,40.63,2026-04-05 23:53:26,0
T107432,U10088,M1045,pharmacy,77.44,2026-04-06 00:06:56,1
T103586,U10177,M1014,utilities,9.01,2026-04-06 00:10:06,0
T107585,U10020,M1012,utilities,29.35,2026-04-06 00:21:08,0
T103095,U10283,M1051,electronics,18.2,2026-04-06 00:56:52,0
T102286,U10280,M1011,pharmacy,28.65,2026-04-06 01:00:00,0
T107778,U10024,M1028,gambling,27.23,2026-04-06 01:30:41,0
T106623,U10203,M1035,grocery,93.94,2026-04-06 01:44:57,0
T101031,U10207,M1049,utilities,12.97,2026-04-06 02:05:39,0
T102158,U10061,M1024,utilities,30.7,2026-04-06 02:34:59,0
T102576,U10068,M1025,restaurant,76.4,2026-04-06 02:40:45,0
T102130,U10239,M1023,pharmacy,35.04,2026-04-06 02:42:34,0
T105890,U10013,M1013,utilities,25.34,2026-04-06 03:15:33,0
T107307,U10262,M1002,restaurant,119.32,2026-04-06 03:32:13,0
T100247,U10079,M1012,utilities,16.41,2026-04-06 04:07:51,0
T103372,U10211,M1017,electronics,7.95,2026-04-06 04:18:22,0
T107843,U10288,M1004,crypto,53.17,2026-04-06 04:31:45,1
T102336,U10281,M1018,fashion,130.52,2026-04-06 04:48:56,0
T102091,U10118,M1057,electronics,39.8,2026-04-06 04:50:29,0
T106881,U10181,M1040,electronics,22.23,2026-04-06 05:12:37,0
T106912,U10154,M1004,crypto,43.93,2026-04-06 05:48:32,0
T102260,U10039,M1019,crypto,31.58,2026-04-06 05:51:43,0
T107018,U10225,M1044,grocery,45.08,2026-04-06 05:59:33,0
T104667,U10119,M1059,restaurant,27.18,2026-04-06 06:58:09,0
T107106,U10002,M1012,utilities,46.81,2026-04-06 07:04:55,0
T104965,U10235,M1027,fashion,27.47,2026-04-06 07:10:58,0
T100782,U10148,M1047,fashion,11.58,2026-04-06 07:18:06,0
T103856,U10141,M1005,fashion,68.57,2026-04-06 07:38:02,0
T105194,U10219,M1003,crypto,22.36,2026-04-06 08:24:55,0
T103090,U10169,M1020,gambling,47.91,2026-04-06 09:19:56,0
T103240,U10136,M1045,pharmacy,51.52,2026-04-06 09:21:36,0
T106066,U10177,M1056,gambling,18.35,2026-04-06 10:07:46,0
T106888,U10048,M1003,crypto,74.87,2026-04-06 10:49:46,0
T107439,U10218,M1015,utilities,103.08,2026-04-06 10:57:03,0
T107436,U10125,M1047,fashion,74.43,2026-04-06 11:31:14,0
T105545,U10027,M1031,travel,53.84,2026-04-06 12:56:31,0
T107100,U10202,M1000,grocery,186.73,2026-04-06 13:00:44,0
T100256,U10104,M1005,fashion,19.91,2026-04-06 13:02:09,0
T100146,U10061,M1032,grocery,18.75,2026-04-06 13:17:20,0
T106479,U10178,M1018,fashion,23.3,2026-04-06 13:42:20,0
T102293,U10087,M1003,crypto,55.24,2026-04-06 13:51:26,1
T102103,U10220,M1053,crypto,31.0,2026-04-06 14:11:23,0
T103113,U10235,M1028,gambling,26.62,2026-04-06 14:12:15,0
T100038,U10291,M1044,grocery,25.8,2026-04-06 16:35:00,0
T104931,U10115,M1015,utilities,26.24,2026-04-06 16:52:07,0
T101870,U10065,M1047,fashion,21.08,2026-04-06 17:00:49,0
T100826,U10064,M1008,travel,26.64,2026-04-06 17:06:44,0
T105204,U10032,M1009,grocery,74.49,2026-04-06 17:55:30,0
T104088,U10014,M1009,grocery,56.39,2026-04-06 18:04:53,0
T106745,U10034,M1010,gambling,99.77,2026-04-06 18:10:35,0
T105776,U10287,M1020,gambling,29.7,2026-04-06 18:13:29,0
T104119,U10240,M1027,fashion,6.55,2026-04-06 18:18:59,0
T106572,U10121,M1050,utilities,29.61,2026-04-06 18:27:01,0
T101075,U10203,M1030,crypto,34.39,2026-04-06 18:38:17,0
T104699,U10191,M1031,travel,72.78,2026-04-06 18:44:09,0
T103506,U10045,M1008,travel,16.83,2026-04-06 18:58:32,0
T105550,U10271,M1013,utilities,14.96,2026-04-06 19:05:02,0
T101014,U10209,M1006,grocery,60.78,2026-04-06 19:10:10,0
T101504,U10000,M1032,grocery,124.27,2026-04-06 19:10:13,0
T101685,U10205,M1039,restaurant,31.27,2026-04-06 19:14:27,0
T105621,U10126,M1030,crypto,27.27,2026-04-06 19:35:38,0
T106860,U10019,M1055,grocery,53.52,2026-04-06 20:14:28,0
T104039,U10109,M1014,utilities,229.25,2026-04-06 20:45:49,0
T100592,U10006,M1039,restaurant,43.37,2026-04-06 20:52:24,0
T107842,U10215,M1020,gambling,13.94,2026-04-06 21:14:06,0
T101425,U10208,M1002,restaurant,5.06,2026-04-06 21:52:37,0
T107837,U10178,M1041,utilities,30.68,2026-04-06 22:08:46,0
T102527,U10193,M1038,travel,82.82,2026-04-06 22:10:35,0
T101388,U10177,M1052,gaming,15.81,2026-04-06 22:40:02,0
T104672,U10128,M1033,gambling,20.33,2026-04-06 22:50:28,0
T102544,U10082,M1007,restaurant,77.51,2026-04-06 23:11:53,0
T101935,U10000,M1059,restaurant,67.62,2026-04-06 23:14:49,0
T100235,U10084,M1008,travel,32.93,2026-04-06 23:18:39,0
T102047,U10008,M1035,grocery,54.34,2026-04-06 23:30:33,0
T103254,U10019,M1049,utilities,308.62,2026-04-06 23:41:22,0
T100682,U10212,M1050,utilities,19.54,2026-04-07 00:16:30,0
T100154,U10199,M1056,gambling,13.6,2026-04-07 01:08:42,0
T102902,U10077,M1040,electronics,58.72,2026-04-07 02:13:15,0
T107372,U10151,M1020,gambling,25.56,2026-04-07 02:17:02,0
T105630,U10081,M1018,fashion,34.68,2026-04-07 03:02:20,0
T106254,U10213,M1027,fashion,9.72,2026-04-07 03:08:34,0
T101542,U10107,M1008,travel,32.8,2026-04-07 03:29:48,0
T106477,U10182,M1014,utilities,16.36,2026-04-07 03:44:47,0
T107723,U10280,M1000,grocery,60.45,2026-04-07 04:00:50,0
T106939,U10027,M1035,grocery,62.52,2026-04-07 04:15:32,0
T103919,U10116,M1009,grocery,46.95,2026-04-07 04:30:58,0
T105823,U10147,M1045,pharmacy,31.37,2026-04-07 04:40:14,0
T107268,U10257,M1045,pharmacy,45.1,2026-04-07 06:20:49,0
T100352,U10285,M1038,travel,24.41,2026-04-07 06:23:38,0
T102356,U10157,M1021,gaming,6.26,2026-04-07 06:28:03,0
T106647,U10111,M1049,utilities,14.55,2026-04-07 07:14:01,0
T104670,U10270,M1033,gambling,101.69,2026-04-07 07:49:06,0
T103932,U10237,M1032,grocery,26.37,2026-04-07 07:50:19,0
T106072,U10264,M1025,restaurant,20.06,2026-04-07 08:00:56,0
T101567,U10099,M1019,crypto,20.23,2026-04-07 08:27:38,0
T106801,U10169,M1022,electronics,18.58,2026-04-07 09:05:03,0
T107388,U10174,M1036,fashion,14.49,2026-04-07 10:03:16,0
T103754,U10099,M1050,utilities,25.59,2026-04-07 11:01:32,0
T104195,U10142,M1034,fashion,10.54,2026-04-07 11:45:15,0
T106342,U10197,M1048,restaurant,63.26,2026-04-07 12:39:50,0
T101401,U10091,M1008,travel,84.88,2026-04-07 13:00:44,0
T104001,U10182,M1055,grocery,53.74,2026-04-07 13:01:05,0
T102525,U10176,M1053,crypto,7.67,2026-04-07 13:22:12,0
